GeneSymbol	Status
TSL	UP
CPVL	UP
GGCT	UP
ANLN	UP
TRG-AS1	UP
INHBA-AS1	UP
TNS3	UP
IKZF1	UP
INTS4P2	UP
PMS2P9	UP
PHTF2	UP
CCDC146	UP
PEX1	UP
ANKIB1	UP
AKAP9	UP
VPS50	UP
SLC25A13	UP
ZSCAN25	UP
TFEC	UP
ST7-AS2	UP
IRF5	UP
UBN2	UP
TBXAS1	UP
RAB19	UP
AGK	UP
NCAPG2	UP
LFNG	UP
MIR4656	UP
RBAK	UP
RNF216-IT1	UP
ANKRD61	UP
CCZ1B	UP
C7orf71	UP
LOC100506497	UP
LOC102724484	UP
MIR550A3	UP
ZNRF2	UP
DKFZP586I1420	UP
LOC100130673	UP
AVL9	UP
AOAH-IT1	UP
ELMO1-AS1	UP
GPR141	UP
NME8	UP
YAE1D1	UP
SPDYE1	UP
MYO1G	UP
SNORA9	UP
SNORA5A	UP
SNORA5C	UP
SNORA5B	UP
FIGNL1	UP
EGFR-AS1	UP
SNORA15	UP
ZNF736	UP
ZNF107	UP
ZNF138	UP
ZNF273	UP
ZNF117	UP
SNORA22	UP
STAG3L4	UP
LINC01372	UP
SPDYE5	UP
SNORA14A	UP
LOC101927243	UP
SLC25A40	UP
GTPBP10	UP
MTERF1	UP
FAM133B	UP
SAMD9L	UP
SAMD9	UP
BET1	UP
SCARNA28	UP
MYH16	UP
FAM200A	UP
CYP3A7-CYP3A51P	UP
CYP3A5	UP
CYP3A4	UP
OR2AE1	UP
GPC2	UP
PVRIG	UP
STAG3L5P	UP
LOC100289561	UP
FAM185A	UP
LHFPL3-AS2	UP
LINC01004	UP
PIK3CG	UP
GPR22	UP
DLD	UP
DOCK4-AS1	UP
ST7-OT4	UP
ST7-OT3	UP
SND1-IT1	UP
LEP	UP
OPN1SW	UP
TPI1P2	UP
TMEM209	UP
SLC35B4	UP
C7orf49	UP
LOC100130880	UP
PARP12	UP
PRSS37	UP
CLEC5A	UP
MTRNR2L6	UP
GIMAP2	UP
XRCC2	UP
WISP1	UP
SLC26A7	UP
VPS13B	UP
RAD54B	UP
MSR1	UP
MTMR7	UP
ADAMDEC1	UP
LOC101929294	UP
PNOC	UP
NUGGC	UP
LOC101929450	UP
FUT10	UP
RNF170	UP
PRKDC	UP
ST18	UP
MTFR1	UP
DNAJC5B	UP
PDE7A	UP
LINC01592	UP
LACTB2-AS1	UP
LOC392232	UP
CA1	UP
CALB1	UP
NBN	UP
LRRC69	UP
KIAA1429	UP
TP53INP1	UP
ESRP1	UP
MTERF3	UP
DSCC1	UP
TBC1D31	UP
FAM49B	UP
LOC100128993	UP
LZTS1-AS1	UP
ADAM28	UP
CDCA2	UP
FZD3	UP
LEPROTL1	UP
HTRA4	UP
AP3M2	UP
CHRNA6	UP
POMK	UP
TMEM68	UP
PLAG1	UP
UBXN2B	UP
GGH	UP
TTPA	UP
ARMC1	UP
RRS1-AS1	UP
PTTG3P	UP
TRPA1	UP
LY96	UP
PEX2	UP
PKIA-AS1	UP
LOC101241902	UP
LRRCC1	UP
C8orf59	UP
RMDN1	UP
OSGIN2	UP
OTUD6B	UP
OTUD6B-AS1	UP
FAM92A1	UP
RBM12B-AS1	UP
RBM12B	UP
LOC100288748	UP
CCNE2	UP
INTS8	UP
NDUFAF6	UP
SNORA72	UP
LOC104054148	UP
RRM2B	UP
DCAF13	UP
DCSTAMP	UP
MRPL13	UP
TRMT12	UP
ZNF572	UP
LINC00861	UP
PCAT2	UP
PRNCR1	UP
CCAT1	UP
TMEM75	UP
MIR1207	UP
MIR1206	UP
ASAP1-IT1	UP
EFR3A	UP
MIR7848	UP
JRK	UP
ZNF252P	UP
ZNF252P-AS1	UP
TMED10P1	UP
ANKRD18B	UP
CDKN2B-AS1	UP
FOCAD	UP
DDX58	UP
ZNF782	UP
PTPN3	UP
DOCK8	UP
MLANA	UP
LRRC19	UP
IFNK	UP
PAX5	UP
VPS13A	UP
CEP78	UP
SEMA4D	UP
SHC3	UP
SYK	UP
PTPDC1	UP
FANCC	UP
ERCC6L2	UP
NCBP1	UP
INVS	UP
FKTN	UP
FSD1L	UP
LOC340512	UP
IKBKAP	UP
C9orf84	UP
ASTN2-AS1	UP
PSMD5	UP
CNTRL	UP
STRBP	UP
SCAI	UP
MVB12B	UP
ERMP1	UP
SCARNA8	UP
MIR4473	UP
MIR491	UP
MTAP	UP
TAF1L	UP
TMEM215	UP
SNORD121A	UP
KIF24	UP
KIAA1161	UP
FAM205BP	UP
RMRP	UP
EXOSC3	UP
ALDH1B1	UP
ZNF658	UP
MIR1299	UP
PGM5P2	UP
RMI1	UP
C9orf47	UP
NOL8	UP
ZNF484	UP
LOC101927954	UP
ZNF169	UP
MIR2278	UP
MIR3074	UP
MIR6081	UP
MIR23B	UP
SMC2	UP
SMC2-AS1	UP
SLC46A2	UP
FKBP15	UP
FBXW2	UP
GSN-AS1	UP
OR1Q1	UP
OR1B1	UP
ZBTB26	UP
ZBTB6	UP
GPR21	UP
NRON	UP
SNORA65	UP
SLC27A4	UP
GLE1	UP
DOLK	UP
FAM78A	UP
SNORD36C	UP
SLC2A6	UP
RNU6ATAC	UP
CCDC183-AS1	UP
SAPCD2	UP
FUT7	UP
C9orf139	UP
TMEM203	UP
