	TNBC1	TNBC2	TNBC3	TNBC4	TNBC5	TNBC6	NonTNBC1	NonTNBC2	NonTNBC3	NonTNBC4	NonTNBC5	NonTNBC6	HER2_1	HER2_2	HER2_3	HER2_4	HER2_5	NBS1	NBS2	NBS3
STAT1	13439.1411102199	4238.19381573342	8084.32058733082	13818.7639800214	6247.13936043421	6619.24255770055	11135.2815474004	3529.11050279697	2982.96975640494	3805.36386064884	2890.13776800444	9938.21728793019	9053.79924299888	5146.76645090005	16076.8586778732	2556.82825718363	3214.18550435112	1305.43034904635	1543.64983722036	1117.8852663288
ANKRD44-IT1	56.1484531568498	19.6825124150503	30.1816627701474	6.53330289124675	23.6022774034167	7.01221162581808	8.03365858964018	15.5509094148899	22.5110532472854	16.7489836404609	18.1875051354372	24.4135823996371	157.228910012957	66.9829529098372	115.968576833739	58.2617259806168	13.398143425149	1	1	1
COQ10B	48.9158691362793	79.4665521432114	137.57018176429	34.1998173474805	62.0261489892251	89.9807320621076	93.5196629868054	172.700731095701	107.658972351124	109.274262528169	83.6637151751979	122.997087240214	141.484911329481	151.947303232093	121.775070613221	115.523451961234	96.0524329261426	496.308375832992	877.547729021548	1039.3104234715
MARS2	98.6398842777013	124.304581939332	114.224851548172	102.81277319894	153.565372473063	156.115059946107	141.132121132062	174.640852351019	131.85890725432	71.8704263820741	100.851220310635	296.750514521732	126.951989467811	358.934922634186	128.742863148599	121.109961813001	81.5879322634687	277.804885572992	276.804282796309	446.113532889444
BOLL	9.13665702314177	4.73650248301007	22.0107971945061	7.6399634694961	4.39034161051251	5.80976930065447	3.16420264296621	3.91018188297798	7.27405719712491	11.8274262528169	1.81845262549701	7.16146905253608	14.3218450398646	12.7503888743546	4.48389626768906	7.98313731470937	3.06635723752484	2.01393730979118	2.39060982922509	1.86345981161871
SATB2-AS1	2.80814600514262	1	3.33453302161179	2.10666057824935	2.13011387017084	3.40488465032723	2.62315198222466	2.94012125531865	1	2.96862295505762	2.63690525099402	2.23229381050722	2.21107682180587	1.90387606725804	1	1	3.06635723752484	1	1	1
SGOL2	364.437347033666	262.555173810705	239.122368204403	368.411311978784	186.338674708017	542.099046323628	520.40863431189	253.215763191425	218.799414128765	139.787918331562	164.690525099402	201.863891112676	250.481825292009	640.944255618695	304.098975288948	336.19059110605	222.100224415158	30.4041819839443	30.2028064137269	32.0845532182735
LOC101927795	1	1	2.16726651080589	1	1	2.20244232516362	4.24630396444931	3.91018188297798	2.79258777060712	2.96862295505762	5.09226312748504	3.46458762101443	2.21107682180587	1.90387606725804	1	1	1	3.02787461958236	2.85414643896678	2.72691962323742
NIF3L1	161.924994457693	172.879114218463	178.424509642496	173.639050206899	184.078446967675	298.003254315413	325.630396444931	258.066066329721	219.695708014068	151.599656061908	203.976251123258	280.730694985138	266.225823975486	368.877559374024	196.098190990587	186.751452571269	263.427369165655	86.6777026773548	79.3376870463467	70.5085148353061
SNORD70	5.52036501285654	4.73650248301007	3.33453302161179	7.6399634694961	2.13011387017084	4.60732697549085	2.0821013214831	5.85030313829663	4.58517554121424	2.96862295505762	7.54762100397607	4.69688143152165	3.42215364361174	8.23100853806435	5.64519502358541	1	1	1	1	1
CYP20A1	364.437347033666	759.510004051044	778.399496196726	612.98329977189	660.986500179768	759.741107178242	878.043121062056	870.174322382756	901.775354730077	844.554936242188	1196.75928585113	571.552034264841	436.987655850113	355.319418365153	311.066767824326	369.709650216655	604.376313357253	338.134155505568	273.095989918376	313.140721900163
SNORD51	3.71221900771392	1	1	1	1	2.20244232516362	3.70525330370776	1	1	1	1	2.23229381050722	1	4.61550426903218	3.3225975117927	1	1	4.54878058426913	7.48951253638375	3.59037943485613
GCSHP3	62.4769641748489	75.7300496602013	104.886719461725	62.9729923819636	52.9852380278585	144.09063669447	85.9449537364237	155.239639797833	95.1108579568737	63.9959345618437	101.669672936132	77.4022162514474	56.70953380307	96.8108631293527	48.6132489917504	54.0718435917912	75.3888605508942	32.4320566035266	33.9110992916604	40.2874214286513
CRYGA	13.6570220359983	4.73650248301007	26.6798632377297	3.2133211564987	3.26022774034167	5.80976930065447	2.0821013214831	1.97006062765933	2.79258777060712	4.93724591011523	5.09226312748504	3.46458762101443	1	1	1	1	3.06635723752484	1	1	1
IDH1	950.276652699873	1682.42611735453	1610.66051840133	927.274903994706	1901.85152962735	1507.66023343001	2838.2696649287	671.311893712594	913.427175239023	952.829198770357	1128.82771793488	1251.77821766482	2652.04716293305	729.524110209984	988.103942511899	2209.0680189111	1968.17209012365	632.682943999906	381.563556597933	310.550342465307
IDH1-AS1	4.61629201028523	8.47300496602014	10.3381320864472	2.10666057824935	4.39034161051251	3.40488465032723	7.49260792889863	7.79042439361528	7.27405719712491	5.92155738764404	4.27381050198803	3.46458762101443	1	1.90387606725804	1	2.39662746294187	1	1	1	1
RPE	772.174271193326	449.380297961208	640.66204792163	673.849631575605	727.663218519848	652.72374023868	1092.29918271571	383.203887297774	491.272755261047	484.296935466645	571.461479971415	608.520848580057	927.473768681491	915.722580065141	770.941075159281	597.35992667618	517.58930938121	239.275267800928	318.05904106332	311.845532182735
LINC01614	52.5321611465646	165.406109252443	303.322026298727	242.252006058358	229.283001774509	97.1953860130893	189.826680598802	140.688730382943	121.103380630677	197.862295505762	77.1160941712218	30.5750514521732	66.398148377517	45.2899272956442	98.5490954952936	230.046903922467	201.436652039909	2.52090596468677	12.1248786338007	6.18075886971225
TMEM169	21.7936790591401	27.1555173810705	36.0179953241768	14.2799269389922	11.1710248315375	9.41709627614532	12.3620638755726	6.82036376595595	4.58517554121424	25.6077869382202	10.0029788804671	14.5552319155794	5.84430728722348	5.51938033629022	6.80649377948176	6.5865098517675	5.13271447504968	5.05574923916472	4.24475626819187	4.45383924647484
RPL37A	1436.66792808324	3106.03356338137	1155.42657918703	3183.75582304513	3195.83191097295	1951.36145141539	3278.68490277232	3404.94274245657	2704.22235807553	1856.4271351418	3375.48017492417	3684.32619960607	2707.75669673612	1979.58471122786	2692.89051616774	3398.99461733758	3319.56972346489	17103.0806042479	10780.5438595431	8580.33668824349
MIR6809	7.32851101799916	4.73650248301007	6.83633255402947	4.31998173474805	5.52045548068334	4.60732697549085	2.62315198222466	4.8802425106373	2.79258777060712	7.89018034270165	2.63690525099402	3.46458762101443	9.47753775264109	4.61550426903218	2.16129875589635	1	3.06635723752484	1	1	1
RUFY4	151.980191429408	23.4190148980604	132.901115721066	50.7997260212207	42.8142131963209	32.263500454254	19.9367731259543	44.6527282446696	40.4369309533566	38.4038361460947	47.6517996533295	29.342757641666	20.3772291488939	12.7503888743546	27.7098713856161	1	21.6635723752484	5.05574923916472	10.7342688045756	2.29518971742806
CXCR2	22.6977520617114	8.47300496602014	48.8579269430417	5.4266423129974	10.0409109613667	22.6439618529451	10.7389118933479	17.4910306702085	16.2369960501605	24.6234754606914	28.0089366414013	13.3229381050722	17.9550755052822	1.90387606725804	5.64519502358541	137.869491368304	9.26542895009935	2.01393730979118	3.31768304870848	2.29518971742806
CXCR2P1	220.689739624828	19.6825124150503	69.8687241375478	59.6530106472155	58.6358073787126	28.6561734787632	71.8776365571433	5.85030313829663	5.4814694265178	10.8431147752881	17.3690525099402	45.3625771782598	140.273834507675	42.57829909387	102.032991762983	3.79325492588375	7.19907171257452	1	1.4635366097417	1
AAMP	527.170487496501	882.814585990376	387.365215076751	764.595798992051	802.250733951123	443.498775660211	966.77542942367	1187.38414762736	718.931402128151	413.42650908457	798.172857234086	953.563115522078	449.098424068172	546.941144623859	354.034821792491	306.86141438427	484.527593580812	1609.10457332881	1560.33715517107	1490.03644513646
SLC11A1	71.517694200562	281.237686225755	68.7014576267419	108.346076090187	80.1079709119585	132.066213442834	61.0566233423123	46.5928494999883	32.3702859856246	98.4468362753519	46.8333470278325	37.9688143152165	117.263374893364	58.8480683045148	74.1618216214702	234.236786311293	17.5308579001987	11.6463417528074	7.95304914612544	9.20286821037774
CATIP-AS2	10.0407300257131	4.73650248301007	16.1744646404766	5.4266423129974	4.39034161051251	2.20244232516362	4.78735462519086	10.7006062765933	3.68888165591068	3.95293443258642	5.09226312748504	30.5750514521732	3.42215364361174	2.80775213451609	6.80649377948176	3.79325492588375	1	1.50696865489559	1	1
VIL1	55.2443801542785	8.47300496602014	113.057585037366	19.8132298302389	30.3829606244417	16.631750227127	36.1682929482009	43.6826676170103	20.7184654766783	22.6548525056338	27.1904840159043	20.7167009681155	8.26646093083522	10.0387606725804	4.48389626768906	5.18988238882562	1	4.04181192937354	3.31768304870848	1.43172990580935
PRKAG3	39.8751391105662	8.47300496602014	69.8687241375478	19.8132298302389	23.6022774034167	20.2390772026179	16.1494185007635	25.2515156914831	19.8221715913747	22.6548525056338	37.0119155218684	13.3229381050722	3.42215364361174	1.90387606725804	37.0002614327869	3.79325492588375	5.13271447504968	1.50696865489559	1.92707321948339	3.15864952904677
LINC01494	11.8488760308557	1	16.1744646404766	5.4266423129974	5.52045548068334	7.01221162581808	1	5.85030313829663	1.89629388530356	3.95293443258642	3.45535787649103	3.46458762101443	1	2.80775213451609	3.3225975117927	1	1	1	1	1.43172990580935
FEV	2.80814600514262	4.73650248301007	6.83633255402947	3.2133211564987	3.26022774034167	3.40488465032723	1.54105066074155	5.85030313829663	1	4.93724591011523	1	2.23229381050722	2.21107682180587	1	1	1	3.06635723752484	1.50696865489559	1.4635366097417	1.86345981161871
