GeneSymbol Status
ZSCAN12 UP
ZKSCAN3 UP
MAS1L UP
LINC01015 UP
MOG UP
TRIM10 UP
TRIM15 UP
MUC22 UP
TCF19 UP
C6orf15 UP
LTB UP
NCR3 UP
SNORD84 UP
LST1 UP
SNORD117 UP
SNORA38 UP
C2 UP
C6orf10 UP
HLA-DRA UP
HLA-DRB1 UP
LOC100294145 UP
HLA-DMB UP
HLA-DOA UP
COL11A2 UP
KIFC1 UP
TAF11 UP
TCP11 UP
SCUBE3 UP
TULP1 UP
CLPS UP
C6orf222 UP
CPNE5 UP
FGD2 UP
CCDC167 UP
SAYSD1 UP
TSPO2 UP
TREML1 UP
TREM2 UP
TREM1 UP
TREML4 UP
TREML2 UP
TREML3P UP
NCR2 UP
FOXP4-AS1 UP
MED20 UP
GUCA1A UP
MRPS10 UP
PTCRA UP
SLC22A7 UP
ZNF318 UP
ABCC10 UP
POLH UP
C6orf223 UP
SPATS1 UP
PLA2G7 UP
ADGRF2 UP
OPN5 UP
CENPQ UP
LOC101927048 UP
LOC101927082 UP
MCM3 UP
PAQR8 UP
GSTA7P UP
GSTA5 UP
LOC101927136 UP
LOC101930010 UP
RAB23 UP
BAG2 UP
LOC100506188 UP
MTRNR2L9 UP
LGSN UP
KHDC1 UP
KHDC1L UP
KHDC3L UP
LCAL1 UP
C6orf7 UP
RIPPLY2 UP
NT5E UP
SNORD50A UP
SMIM8 UP
LOC101928936 UP
LYRM2 UP
TSG1 UP
MANEA-AS1 UP
POU3F2 UP
USP45 UP
PRDM13 UP
LINC00577 UP
RTN4IP1 UP
C6orf203 UP
ARMC2-AS1 UP
ZBTB24 UP
GPR6 UP
CDC40 UP
HS3ST5 UP
TPI1P3 UP
COL10A1 UP
FAM26F UP
GPRC6A UP
LOC100287632 UP
ASF1A UP
LOC643623 UP
TAAR6 UP
STX7 UP
LINC01312 UP
LINC01010 UP
LOC101928461 UP
OLIG3 UP
PBOV1 UP
LOC645434 UP
LOC285740 UP
SNORA98 UP
LUADT1 UP
LOC100128176 UP
ZC3H12D UP
RAET1K UP
FBXO5 UP
CLDN20 UP
NOX3 UP
TAGAP UP
LOC101929122 UP
AIRN UP
PLG UP
LOC729658 UP
DKFZp451B082 UP
T UP
RPS6KA2-AS1 UP
GPR31 UP
TCP10L2 UP
TTLL2 UP
LOC401286 UP
LOC441178 UP
LINC01558 UP
FRMD1 UP
LINC01615 UP
FLJ38122 UP
AKR1B10 UP
NFE2L3 UP
NPSR1-AS1 UP
AOAH UP
VOPP1 UP
ZKSCAN1 UP
NAPEPLD UP
POT1-AS1 UP
GRM8 UP
NUP205 UP
CNTNAP2 UP
AMZ1 UP
CARD11 UP
MMD2 UP
PMS2 UP
DNAH11 UP
IGF2BP3 UP
OSBPL3 UP
SNX10 UP
TSL UP
CPVL UP
SCRN1 UP
CCDC129 UP
TBX20 UP
LOC401324 UP
ANLN UP
TRG-AS1 UP
RALA UP
POU6F2 UP
INHBA-AS1 UP
LINC01449 UP
HECW1 UP
TNS3 UP
VWC2 UP
DDC UP
UPK3B UP
SSC4D UP
RPL13AP17 UP
LOC101927356 UP
GRM3 UP
ZNF804B UP
AKAP9 UP
VPS50 UP
SLC25A13 UP
DLX6-AS1 UP
TFEC UP
ST7-AS2 UP
SPAM1 UP
POT1 UP
LOC101928283 UP
IRF5 UP
SMO UP
FLJ40288 UP
TBXAS1 UP
TMEM178B UP
ZNF775 UP
NCAPG2 UP
LOC100507642 UP
OCM UP
ANKRD61 UP
CCZ1B UP
LOC100131257 UP
PRPS1L1 UP
STEAP1B UP
CLK2P1 UP
NPY UP
HOXA11-AS UP
EVX1 UP
LOC102724484 UP
GHRHR UP
AOAH-IT1 UP
ELMO1-AS1 UP
GPR141 UP
NME8 UP
YAE1D1 UP
LINC01450 UP
INHBA UP
PGAM2 UP
SPDYE1 UP
MYL7 UP
MYO1G UP
SNORA5A UP
SNORA5C UP
C7orf65 UP
LINC01447 UP
LINC00525 UP
C7orf57 UP
C7orf72 UP
FIGNL1 UP
VSTM2A-OT1 UP
DKFZp434L192 UP
ZNF735 UP
ZNF736 UP
