	TNBC1	TNBC2	TNBC3	TNBC4	TNBC5	TNBC6	NonTNBC1	NonTNBC2	NonTNBC3	NonTNBC4	NonTNBC5	NonTNBC6	HER2_1	HER2_2	HER2_3	HER2_4	HER2_5	NBS1	NBS2	NBS3
CFDP1	745.052081116187	923.916113303487	484.24833547364	471.330745755974	569.44727669593	479.57204541512	451.154149736971	252.245702563765	251.065993999693	236.250443129385	344.750102708744	148.875257260866	237.159980252145	358.031046566927	808.102635347965	327.810826328398	248.962868502981	705.686430304871	583.665518445312	682.269791367161
MLKL	393.367683115948	247.609163878664	200.602573347808	246.678648371356	223.632432423655	222.249387830105	183.334072669903	90.2455777446579	72.7035108242847	167.348639702368	82.8452625497009	83.5636853039834	163.284294121987	119.407764810804	450.422618531888	93.1774125541637	96.0524329261426	472.480849052899	255.945135357933	277.307139717987
ADAMTS18	48.011796133708	27.1555173810705	75.7050566915773	3.2133211564987	17.9517080525625	23.8464041781087	8.57470925038173	11.6706669042526	18.9258777060712	88.6037215000639	20.6428630119282	5.92917524202886	119.685528536975	10.9426367398385	23.0646763620307	23.34603940707	27.8626440878229	75.0174236147562	124.764274801033	61.0104569075003
VAT1L	41.6832851157089	15.9460099320403	72.2032571591596	101.706112620691	19.0818219227334	47.8952506813811	16.690469161505	13.6107881595712	9.06664496773203	22.6548525056338	6.72916837847906	10.8583504840577	2.21107682180587	10.9426367398385	7.96779253537811	13.5696471664769	15.4645006626739	67.919862446218	46.4265877546862	65.3277559655938
LOC102724084	7.32851101799916	1	11.5053985972531	5.4266423129974	4.39034161051251	4.60732697549085	1.54105066074155	6.82036376595595	4.58517554121424	4.93724591011523	2.63690525099402	4.69688143152165	4.63323046541761	1	1	2.39662746294187	1	1	1.4635366097417	1.43172990580935
MPHOSPH6	219.785666622257	236.399656429634	646.49838047566	142.652554015917	220.242090813142	356.922928248431	181.169870026937	184.341458627613	87.9405068744452	66.9488689944301	120.494083322563	74.9376286304329	331.623972353003	252.277546697736	903.329133331465	190.941334960095	408.072375792393	426.346701457401	307.861235649003	229.816850078958
USP10	1157.3093702887	830.503551228235	548.447993567965	635.116511336877	1100.60079567622	599.816277931481	519.867583651148	547.1441333722	455.420999848904	366.179558163188	454.422754525343	349.739148373542	789.411010995622	1321.562934264	1115.8468056605	485.62972964083	730.424104846268	1012.4024665167	1439.81763663822	1932.55959859105
LINC00917	19.9855330539975	1	43.0215943890122	6.53330289124675	5.52045548068334	5.80976930065447	2.62315198222466	5.85030313829663	6.37776331182135	7.89018034270165	10.0029788804671	5.92917524202886	2.21107682180587	1	2.16129875589635	1	3.06635723752484	1	1	1
JPH3	32.6425550899958	15.9460099320403	33.6834623025651	13.1732663607428	19.0818219227334	4.60732697549085	7.49260792889863	9.73054564893393	6.37776331182135	10.8431147752881	9.18452625497009	10.8583504840577	47.0209192286231	12.7503888743546	57.9036390389212	16.3629020923606	151.844078339313	3.02787461958236	3.31768304870848	4.02210934066548
CA5A	19.0814600514262	1	25.5125967269238	3.2133211564987	3.26022774034167	5.80976930065447	2.0821013214831	4.8802425106373	6.37776331182135	6.90586886517285	5.91071575298205	9.62605667355051	1	1	1	1	1	1	1.92707321948339	1
CBFA2T3	29.9303360822819	206.507636565554	16.1744646404766	16.4932480954909	26.9926190139292	31.0610581290904	4.78735462519086	18.4610912978679	19.8221715913747	34.4665902359795	37.0119155218684	51.5240462307958	88.1975311700227	14.5581410088707	61.3875353066103	17.7595295553025	42.3271447504968	58.7944266580973	80.26476026583	133.541081083472
VPS9D1-AS1	24.505898066854	38.3650248301007	17.3417311512825	7.6399634694961	24.7323912735876	11.8219809264726	11.821013214831	22.3413338085052	12.6518205089463	7.89018034270165	14.0952420079521	13.3229381050722	13.1107682180587	70.5984571788694	2.16129875589635	6.5865098517675	7.19907171257452	99.3519190497446	121.055981923099	57.9883475668348
RHBDF1	140.227242395981	206.507636565554	135.235648742678	172.532389628649	303.870517205784	140.48330971898	184.416173991386	355.072129095654	290.50292495305	285.466017005825	158.142904095426	257.317112585501	205.671982885192	145.620170761287	161.259228313697	188.148080034211	284.090941540903	631.162038035219	618.894300785681	390.420375040038
POLR3K	71.517694200562	113.095074490302	107.221252483336	124.945984763927	106.100589925888	132.066213442834	247.178050637406	372.533220393522	225.07347132589	69.9018034270165	185.151840736827	244.994174480429	49.4430728722348	104.945747734675	125.25896688091	118.316706887117	108.450576351292	81.1010474735033	53.3796369008117	57.9883475668348
NPRL3	84.1747162365603	75.7300496602013	115.392118058978	46.3730837082233	84.6284263926419	47.8952506813811	44.2840528593242	115.4671540638	107.658972351124	134.866360943918	62.3839469122757	243.761880669921	118.474451715169	175.448080980803	98.5490954952936	150.439138534781	112.583290826341	339.655061470255	291.637454308044	295.43979576198
PDIA2	16.3692410437122	4.73650248301007	15.0071981296707	9.8532846259948	15.6914803122209	2.20244232516362	5.32840528593242	7.79042439361528	5.4814694265178	2.96862295505762	5.09226312748504	3.46458762101443	2.21107682180587	3.71162820177413	6.80649377948176	7.98313731470937	1	2.01393730979118	2.85414643896678	2.29518971742806
